,Year,FlagOfRegistration,FlagOfRegistration Label,BeneficialOwnership,BeneficialOwnership Label,Dead weight tons in thousands,Percentage of total fleet,Number of ships
0,2014,0,Total all flags,0000,World,1677345.179,100.0,47497
1,2014,0,Total all flags,0000u,World n.e.s.,5498.359,0.3278,624
2,2014,0,Total all flags,008,Albania,87.149,0.0052,22
3,2014,0,Total all flags,012,Algeria,1380.595,0.08231,45
4,2014,0,Total all flags,016,American Samoa,0.0,0.0,0
5,2014,0,Total all flags,024,Angola,5759.858,0.34339,54
6,2014,0,Total all flags,028,Antigua and Barbuda,0.584,3e-05,1
7,2014,0,Total all flags,031,Azerbaijan,674.992,0.04024,182
8,2014,0,Total all flags,032,Argentina,882.231,0.0526,64
9,2014,0,Total all flags,036,Australia,2508.535,0.14955,119
10,2014,0,Total all flags,040,Austria,274.135,0.01634,17
11,2014,0,Total all flags,044,Bahamas,1114.355,0.06644,39
12,2014,0,Total all flags,048,Bahrain,138.44,0.00825,27
13,2014,0,Total all flags,050,Bangladesh,2091.628,0.1247,89
14,2014,0,Total all flags,052,Barbados,2.04,0.00012,1
15,2014,0,Total all flags,056,Belgium,15229.33,0.90794,222
16,2014,0,Total all flags,060,Bermuda,37605.34,2.24196,277
17,2014,0,Total all flags,068,Bolivia (Plurinational State of),1.741,0.0001,1
18,2014,0,Total all flags,076,Brazil,19182.62,1.14363,378
19,2014,0,Total all flags,084,Belize,21.354,0.00127,6
20,2014,0,Total all flags,090,Solomon Islands,0.0,0.0,0
21,2014,0,Total all flags,092,British Virgin Islands,332.253,0.01981,8
22,2014,0,Total all flags,096,Brunei Darussalam,19.241,0.00115,8
23,2014,0,Total all flags,100,Bulgaria,1274.534,0.07599,77
24,2014,0,Total all flags,104,Myanmar,173.134,0.01032,36
25,2014,0,Total all flags,1100,Developed economies,986660.509,58.82275,23224
26,2014,0,Total all flags,1120,Developed economies: America,103396.292,6.16428,2496
27,2014,0,Total all flags,1130,Developed economies: Asia,228433.464,13.61875,4016
28,2014,0,Total all flags,1140,Developed economies: Europe,652121.544,38.8782,16575
29,2014,0,Total all flags,1150,Developed economies: Oceania,2709.209,0.16152,137
30,2014,0,Total all flags,116,Cambodia,8.24,0.00049,2
31,2014,0,Total all flags,120,Cameroon,428.696,0.02556,3
32,2014,0,Total all flags,1200,Developing economies,661453.523,39.43455,21326
33,2014,0,Total all flags,1210,Developing economies: Africa,22509.138,1.34195,809
34,2014,0,Total all flags,1220,Developing economies: America,33141.101,1.97581,1154
35,2014,0,Total all flags,1230,Developing economies: Asia,605105.299,36.07518,19252
36,2014,0,Total all flags,124,Canada,10156.76,0.60553,357
37,2014,0,Total all flags,1250,Developing economies: Oceania,697.984,0.04161,111
38,2014,0,Total all flags,1300,Transition economies,23732.788,1.4149,2323
39,2014,0,Total all flags,132,Cabo Verde,10.167,0.00061,7
40,2014,0,Total all flags,136,Cayman Islands,5.008,0.0003,3
41,2014,0,Total all flags,144,Sri Lanka,62.408,0.00372,13
42,2014,0,Total all flags,152,Chile,2289.2,0.13648,78
43,2014,0,Total all flags,156,China,153102.8,9.12769,4872
44,2014,0,Total all flags,158,"China, Taiwan Province of",45872.71,2.73484,864
45,2014,0,Total all flags,170,Colombia,137.448,0.00819,28
46,2014,0,Total all flags,174,Comoros,0.0,0.0,0
47,2014,0,Total all flags,175,Mayotte,0.0,0.0,0
48,2014,0,Total all flags,178,Congo,364.24,0.02172,3
49,2014,0,Total all flags,180,"Congo, Dem. Rep. of the",15.786,0.00094,5
50,2014,0,Total all flags,184,Cook Islands,8.455,0.0005,3
51,2014,0,Total all flags,188,Costa Rica,77.001,0.00459,7
52,2014,0,Total all flags,191,Croatia,3187.481,0.19003,107
53,2014,0,Total all flags,192,Cuba,233.779,0.01394,20
54,2014,0,Total all flags,196,Cyprus,9933.038,0.59219,300
55,2014,0,Total all flags,204,Benin,0.0,0.0,0
56,2014,0,Total all flags,208,Denmark,39280.83,2.34185,949
57,2014,0,Total all flags,2101,Developed economies: Asia and Oceania,231142.673,13.78027,4153
58,2014,0,Total all flags,2102,Developing economies: Asia and Oceania,605803.284,36.11679,19363
59,2014,0,Total all flags,2116,Sub-Saharan Africa excluding South Africa,12340.529,0.73572,405
60,2014,0,Total all flags,2117,Africa excluding South Africa,20272.479,1.20861,750
61,2014,0,Total all flags,212,Dominica,0.0,0.0,0
62,2014,0,Total all flags,214,Dominican Republic,0.0,0.0,0
63,2014,0,Total all flags,2160,Developing economies excluding China,508350.723,30.30686,16454
64,2014,0,Total all flags,2161,Developing economies excluding LDCs,652220.26,38.88408,21059
65,2014,0,Total all flags,218,Ecuador,644.743,0.03844,48
66,2014,0,Total all flags,2200,M49 developing regions,662571.405,39.5012,21553
67,2014,0,Total all flags,2205,M49 developed regions,1009275.415,60.171,25320
68,2014,0,Total all flags,2210,LDCs (Least developed countries),9233.263,0.55047,267
69,2014,0,Total all flags,2211,LDCs: Africa and Haiti,6363.671,0.37939,116
70,2014,0,Total all flags,2213,LDCs: Asia,2865.612,0.17084,148
71,2014,0,Total all flags,2216,LDCs: Islands,3.98,0.00024,3
72,2014,0,Total all flags,222,El Salvador,0.0,0.0,0
73,2014,0,Total all flags,2220,LLDCs (Landlocked developing countries),1601.313,0.09547,259
74,2014,0,Total all flags,2221,LDCs: Africa,6354.049,0.37882,114
75,2014,0,Total all flags,2222,LDCs: Islands and Haiti,13.602,0.00081,5
76,2014,0,Total all flags,2230,SIDS (Small island developing States) (UNCTAD),2274.307,0.13559,137
77,2014,0,Total all flags,2231,SIDS: Atlantic and Indian Ocean,430.698,0.02568,35
78,2014,0,Total all flags,2232,SIDS: Caribbean,1308.36,0.078,57
