"Period,Period Label,CommodityProduct,CommodityProduct Label,""Growth rate, year-on-year"",""Growth rate, year-on-year Footnote"",Growth rate (over previous period),Growth rate (over previous period) Footnote,Index Base 2015,Index Base 2015 Footnote"
"1995M01,""Jan. 1995"",IN0001.01,""All food "",,,,,80.75,"
"1995M01,""Jan. 1995"",IN0001.02,""Food "",,,,,80.82,"
"1995M01,""Jan. 1995"",IN0001.03,""Tropical beverages"",,,,,95.57,"
"1995M01,""Jan. 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,,,72.2,"
"1995M01,""Jan. 1995"",IN0001.05,""Tropical beverages and food "",,,,,84.45,"
"1995M01,""Jan. 1995"",IN0001.06,""Agricultural raw materials"",,,,,103.64,"
"1995M01,""Jan. 1995"",IN0001.07,""Minerals, ores and metals"",,,,,45.56,"
"1995M01,""Jan. 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,,,61.79,"
"1995M01,""Jan. 1995"",IN0001.09,""Precious metals "",,,,,32.73,"
"1995M01,""Jan. 1995"",IN0001.10,""Fuels "",,,,,35.32,"
"1995M01,""Jan. 1995"",IN0001.20,""All groups"",,,,,46.03,"
"1995M01,""Jan. 1995"",IN0001.22,""All groups excl. fuels"",,,,,63.4,"
"1995M01,""Jan. 1995"",IN0001.23,""All groups excl. precious metals"",,,,,47.82,"
"1995M01,""Jan. 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,,,77.21,"
"1995M02,""Feb. 1995"",IN0001.01,""All food "",,,-0.56966,,80.29,"
"1995M02,""Feb. 1995"",IN0001.02,""Food "",,,-0.39594,,80.5,"
"1995M02,""Feb. 1995"",IN0001.03,""Tropical beverages"",,,-0.28252,,95.3,"
"1995M02,""Feb. 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,-1.13573,,71.38,"
"1995M02,""Feb. 1995"",IN0001.05,""Tropical beverages and food "",,,-0.35524,,84.15,"
"1995M02,""Feb. 1995"",IN0001.06,""Agricultural raw materials"",,,0.87804,,104.55,"
"1995M02,""Feb. 1995"",IN0001.07,""Minerals, ores and metals"",,,-3.33626,,44.04,"
"1995M02,""Feb. 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,-5.2112,,58.57,"
"1995M02,""Feb. 1995"",IN0001.09,""Precious metals "",,,-0.54995,,32.55,"
"1995M02,""Feb. 1995"",IN0001.10,""Fuels "",,,2.94451,,36.36,"
"1995M02,""Feb. 1995"",IN0001.20,""All groups"",,,0.65175,,46.33,"
"1995M02,""Feb. 1995"",IN0001.22,""All groups excl. fuels"",,,-1.43533,,62.49,"
"1995M02,""Feb. 1995"",IN0001.23,""All groups excl. precious metals"",,,0.75282,,48.18,"
"1995M02,""Feb. 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,-1.61896,,75.96,"
"1995M03,""Mar. 1995"",IN0001.01,""All food "",,,2.44115,,82.25,"
"1995M03,""Mar. 1995"",IN0001.02,""Food "",,,1.32919,,81.57,"
"1995M03,""Mar. 1995"",IN0001.03,""Tropical beverages"",,,5.16264,,100.22,"
"1995M03,""Mar. 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,2.54973,,73.2,"
"1995M03,""Mar. 1995"",IN0001.05,""Tropical beverages and food "",,,2.38859,,86.16,"
"1995M03,""Mar. 1995"",IN0001.06,""Agricultural raw materials"",,,6.36059,,111.2,"
"1995M03,""Mar. 1995"",IN0001.07,""Minerals, ores and metals"",,,-0.81744,,43.68,"
"1995M03,""Mar. 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,-2.25371,,57.25,"
"1995M03,""Mar. 1995"",IN0001.09,""Precious metals "",,,1.2596,,32.96,"
"1995M03,""Mar. 1995"",IN0001.10,""Fuels "",,,-0.74257,,36.09,"
"1995M03,""Mar. 1995"",IN0001.20,""All groups"",,,0.56119,,46.59,"
"1995M03,""Mar. 1995"",IN0001.22,""All groups excl. fuels"",,,1.79229,,63.61,"
"1995M03,""Mar. 1995"",IN0001.23,""All groups excl. precious metals"",,,0.49813,,48.42,"
"1995M03,""Mar. 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,1.9089,,77.41,"
"1995M04,""Apr. 1995"",IN0001.01,""All food "",,,-2.39514,,80.28,"
"1995M04,""Apr. 1995"",IN0001.02,""Food "",,,-2.28025,,79.71,"
"1995M04,""Apr. 1995"",IN0001.03,""Tropical beverages"",,,-2.09539,,98.12,"
"1995M04,""Apr. 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,-2.82787,,71.13,"
"1995M04,""Apr. 1995"",IN0001.05,""Tropical beverages and food "",,,-2.22841,,84.24,"
"1995M04,""Apr. 1995"",IN0001.06,""Agricultural raw materials"",,,-3.42626,,107.39,"
"1995M04,""Apr. 1995"",IN0001.07,""Minerals, ores and metals"",,,1.8544,,44.49,"
"1995M04,""Apr. 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,0.45415,,57.51,"
"1995M04,""Apr. 1995"",IN0001.09,""Precious metals "",,,3.7318,,34.19,"
"1995M04,""Apr. 1995"",IN0001.10,""Fuels "",,,6.31754,,38.37,"
"1995M04,""Apr. 1995"",IN0001.20,""All groups"",,,2.53273,,47.77,"
"1995M04,""Apr. 1995"",IN0001.22,""All groups excl. fuels"",,,-0.94325,,63.01,"
"1995M04,""Apr. 1995"",IN0001.23,""All groups excl. precious metals"",,,2.41636,,49.59,"
"1995M04,""Apr. 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,-1.84731,,75.98,"
"1995M05,""May  1995"",IN0001.01,""All food "",,,-0.31141,,80.03,"
"1995M05,""May  1995"",IN0001.02,""Food "",,,0.72764,,80.29,"
"1995M05,""May  1995"",IN0001.03,""Tropical beverages"",,,-2.43579,,95.73,"
"1995M05,""May  1995"",IN0001.04,""Vegetable oilseeds and oils "",,,-0.66076,,70.66,"
"1995M05,""May  1995"",IN0001.05,""Tropical beverages and food "",,,-0.17806,,84.09,"
"1995M05,""May  1995"",IN0001.06,""Agricultural raw materials"",,,-1.87168,,105.38,"
"1995M05,""May  1995"",IN0001.07,""Minerals, ores and metals"",,,-2.02293,,43.59,"
"1995M05,""May  1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,-2.46914,,56.09,"
"1995M05,""May  1995"",IN0001.09,""Precious metals "",,,-1.37467,,33.72,"
"1995M05,""May  1995"",IN0001.10,""Fuels "",,,-0.80792,,38.06,"
"1995M05,""May  1995"",IN0001.20,""All groups"",,,-1.02575,,47.28,"
"1995M05,""May  1995"",IN0001.22,""All groups excl. fuels"",,,-1.2379,,62.23,"
"1995M05,""May  1995"",IN0001.23,""All groups excl. precious metals"",,,-0.9881,,49.1,"
"1995M05,""May  1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,-1.19768,,75.07,"
"1995M06,""June 1995"",IN0001.01,""All food "",,,0.77471,,80.65,"
"1995M06,""June 1995"",IN0001.02,""Food "",,,3.30054,,82.94,"
"1995M06,""June 1995"",IN0001.03,""Tropical beverages"",,,-7.37491,,88.67,"
"1995M06,""June 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,2.06623,,72.12,"
"1995M06,""June 1995"",IN0001.05,""Tropical beverages and food "",,,0.30919,,84.35,"
"1995M06,""June 1995"",IN0001.06,""Agricultural raw materials"",,,-6.04479,,99.01,"
"1995M06,""June 1995"",IN0001.07,""Minerals, ores and metals"",,,2.13352,,44.52,"
"1995M06,""June 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,3.53004,,58.07,"
"1995M06,""June 1995"",IN0001.09,""Precious metals "",,,0.2669,,33.81,"
"1995M06,""June 1995"",IN0001.10,""Fuels "",,,-3.7835,,36.62,"
"1995M06,""June 1995"",IN0001.20,""All groups"",,,-1.7978,,46.43,"
"1995M06,""June 1995"",IN0001.22,""All groups excl. fuels"",,,0.17676,,62.34,"
"1995M06,""June 1995"",IN0001.23,""All groups excl. precious metals"",,,-1.97556,,48.13,"
"1995M06,""June 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,0.15985,,75.19,"
"1995M07,""Jul. 1995"",IN0001.01,""All food "",,,0.42157,,80.99,"
"1995M07,""Jul. 1995"",IN0001.02,""Food "",,,0.79576,,83.6,"
"1995M07,""Jul. 1995"",IN0001.03,""Tropical beverages"",,,-5.14266,,84.11,"
"1995M07,""Jul. 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,3.54964,,74.68,"
"1995M07,""Jul. 1995"",IN0001.05,""Tropical beverages and food "",,,-0.73503,,83.73,"
"1995M07,""Jul. 1995"",IN0001.06,""Agricultural raw materials"",,,-8.53449,,90.56,"
"1995M07,""Jul. 1995"",IN0001.07,""Minerals, ores and metals"",,,1.30279,,45.1,"
"1995M07,""Jul. 1995"",IN0001.08,""Minerals, ores and non-precious metals "",,,2.73807,,59.66,"
"1995M07,""Jul. 1995"",IN0001.09,""Precious metals "",,,-0.62112,,33.6,"
"1995M07,""Jul. 1995"",IN0001.10,""Fuels "",,,-6.71764,,34.16,"
"1995M07,""Jul. 1995"",IN0001.20,""All groups"",,,-3.57527,,44.77,"
"1995M07,""Jul. 1995"",IN0001.22,""All groups excl. fuels"",,,-0.59352,,61.97,"
"1995M07,""Jul. 1995"",IN0001.23,""All groups excl. precious metals"",,,-3.86453,,46.27,"
"1995M07,""Jul. 1995"",IN0001.24,""All groups excl. precious metals and fuels "",,,-0.59848,,74.74,"
"1995M08,""Aug. 1995"",IN0001.01,""All food "",,,-1.66687,,79.64,"
"1995M08,""Aug. 1995"",IN0001.02,""Food "",,,-3.49282,,80.68,"
"1995M08,""Aug. 1995"",IN0001.03,""Tropical beverages"",,,5.32636,,88.59,"
"1995M08,""Aug. 1995"",IN0001.04,""Vegetable oilseeds and oils "",,,-2.61114,,72.73,"
"1995M08,""Aug. 1995"",IN0001.05,""Tropical beverages and food "",,,-1.31375,,82.63,"
