Year,FlagOfRegistration,FlagOfRegistration Label,BeneficialOwnership,BeneficialOwnership Label,Dead weight tons in thousands,Dead weight tons in thousands Footnote,Percentage of total fleet,Percentage of total fleet Footnote,Number of ships,Number of ships Footnote
2014,0000,"Total all flags",0000,"World",1677345.179,,100,,47497,
2014,0000,"Total all flags",0000u,"World n.e.s.",5498.359,,0.3278,,624,
2014,0000,"Total all flags",008,"Albania",87.149,,0.0052,,22,
2014,0000,"Total all flags",012,"Algeria",1380.595,,0.08231,,45,
2014,0000,"Total all flags",016,"American Samoa",0,,0,,0,
2014,0000,"Total all flags",024,"Angola",5759.858,,0.34339,,54,
2014,0000,"Total all flags",028,"Antigua and Barbuda",0.584,,3E-05,,1,
2014,0000,"Total all flags",031,"Azerbaijan",674.992,,0.04024,,182,
2014,0000,"Total all flags",032,"Argentina",882.231,,0.0526,,64,
2014,0000,"Total all flags",036,"Australia",2508.535,,0.14955,,119,
2014,0000,"Total all flags",040,"Austria",274.135,,0.01634,,17,
2014,0000,"Total all flags",044,"Bahamas",1114.355,,0.06644,,39,
2014,0000,"Total all flags",048,"Bahrain",138.44,,0.00825,,27,
2014,0000,"Total all flags",050,"Bangladesh",2091.628,,0.1247,,89,
2014,0000,"Total all flags",052,"Barbados",2.04,,0.00012,,1,
2014,0000,"Total all flags",056,"Belgium",15229.33,,0.90794,,222,
2014,0000,"Total all flags",060,"Bermuda",37605.34,,2.24196,,277,
2014,0000,"Total all flags",068,"Bolivia (Plurinational State of)",1.741,,0.0001,,1,
2014,0000,"Total all flags",076,"Brazil",19182.62,,1.14363,,378,
2014,0000,"Total all flags",084,"Belize",21.354,,0.00127,,6,
2014,0000,"Total all flags",090,"Solomon Islands",0,,0,,0,
2014,0000,"Total all flags",092,"British Virgin Islands",332.253,,0.01981,,8,
2014,0000,"Total all flags",096,"Brunei Darussalam",19.241,,0.00115,,8,
2014,0000,"Total all flags",100,"Bulgaria",1274.534,,0.07599,,77,
2014,0000,"Total all flags",104,"Myanmar",173.134,,0.01032,,36,
2014,0000,"Total all flags",1100,"Developed economies",986660.509,,58.82275,,23224,
2014,0000,"Total all flags",1120,"Developed economies: America",103396.292,,6.16428,,2496,
2014,0000,"Total all flags",1130,"Developed economies: Asia",228433.464,,13.61875,,4016,
2014,0000,"Total all flags",1140,"Developed economies: Europe",652121.544,,38.8782,,16575,
2014,0000,"Total all flags",1150,"Developed economies: Oceania",2709.209,,0.16152,,137,
2014,0000,"Total all flags",116,"Cambodia",8.24,,0.00049,,2,
2014,0000,"Total all flags",120,"Cameroon",428.696,,0.02556,,3,
2014,0000,"Total all flags",1200,"Developing economies",661453.523,,39.43455,,21326,
2014,0000,"Total all flags",1210,"Developing economies: Africa",22509.138,,1.34195,,809,
2014,0000,"Total all flags",1220,"Developing economies: America",33141.101,,1.97581,,1154,
2014,0000,"Total all flags",1230,"Developing economies: Asia",605105.299,,36.07518,,19252,
2014,0000,"Total all flags",124,"Canada",10156.76,,0.60553,,357,
2014,0000,"Total all flags",1250,"Developing economies: Oceania",697.984,,0.04161,,111,
2014,0000,"Total all flags",1300,"Transition economies",23732.788,,1.4149,,2323,
2014,0000,"Total all flags",132,"Cabo Verde",10.167,,0.00061,,7,
2014,0000,"Total all flags",136,"Cayman Islands",5.008,,0.0003,,3,
2014,0000,"Total all flags",144,"Sri Lanka",62.408,,0.00372,,13,
2014,0000,"Total all flags",152,"Chile",2289.2,,0.13648,,78,
2014,0000,"Total all flags",156,"China",153102.8,,9.12769,,4872,
2014,0000,"Total all flags",158,"China, Taiwan Province of",45872.71,,2.73484,,864,
2014,0000,"Total all flags",170,"Colombia",137.448,,0.00819,,28,
2014,0000,"Total all flags",174,"Comoros",0,,0,,0,
2014,0000,"Total all flags",175,"Mayotte",0,,0,,0,
2014,0000,"Total all flags",178,"Congo",364.24,,0.02172,,3,
2014,0000,"Total all flags",180,"Congo, Dem. Rep. of the",15.786,,0.00094,,5,
2014,0000,"Total all flags",184,"Cook Islands",8.455,,0.0005,,3,
2014,0000,"Total all flags",188,"Costa Rica",77.001,,0.00459,,7,
2014,0000,"Total all flags",191,"Croatia",3187.481,,0.19003,,107,
2014,0000,"Total all flags",192,"Cuba",233.779,,0.01394,,20,
2014,0000,"Total all flags",196,"Cyprus",9933.038,,0.59219,,300,
2014,0000,"Total all flags",204,"Benin",0,,0,,0,
2014,0000,"Total all flags",208,"Denmark",39280.83,,2.34185,,949,
2014,0000,"Total all flags",2101,"Developed economies: Asia and Oceania",231142.673,,13.78027,,4153,
2014,0000,"Total all flags",2102,"Developing economies: Asia and Oceania",605803.284,,36.11679,,19363,
2014,0000,"Total all flags",2116,"Sub-Saharan Africa excluding South Africa",12340.529,,0.73572,,405,
2014,0000,"Total all flags",2117,"Africa excluding South Africa",20272.479,,1.20861,,750,
2014,0000,"Total all flags",212,"Dominica",0,,0,,0,
2014,0000,"Total all flags",214,"Dominican Republic",0,,0,,0,
2014,0000,"Total all flags",2160,"Developing economies excluding China",508350.723,,30.30686,,16454,
2014,0000,"Total all flags",2161,"Developing economies excluding LDCs",652220.26,,38.88408,,21059,
2014,0000,"Total all flags",218,"Ecuador",644.743,,0.03844,,48,
2014,0000,"Total all flags",2200,"M49 developing regions",662571.405,,39.5012,,21553,
2014,0000,"Total all flags",2205,"M49 developed regions",1009275.415,,60.171,,25320,
2014,0000,"Total all flags",2210,"LDCs (Least developed countries)",9233.263,,0.55047,,267,
2014,0000,"Total all flags",2211,"LDCs: Africa and Haiti",6363.671,,0.37939,,116,
2014,0000,"Total all flags",2213,"LDCs: Asia",2865.612,,0.17084,,148,
2014,0000,"Total all flags",2216,"LDCs: Islands",3.98,,0.00024,,3,
2014,0000,"Total all flags",222,"El Salvador",0,,0,,0,
2014,0000,"Total all flags",2220,"LLDCs (Landlocked developing countries)",1601.313,,0.09547,,259,
2014,0000,"Total all flags",2221,"LDCs: Africa",6354.049,,0.37882,,114,
2014,0000,"Total all flags",2222,"LDCs: Islands and Haiti",13.602,,0.00081,,5,
2014,0000,"Total all flags",2230,"SIDS (Small island developing States) (UNCTAD)",2274.307,,0.13559,,137,
2014,0000,"Total all flags",2231,"SIDS: Atlantic and Indian Ocean",430.698,,0.02568,,35,
2014,0000,"Total all flags",2232,"SIDS: Caribbean",1308.36,,0.078,,57,
2014,0000,"Total all flags",2233,"SIDS: Pacific",535.249,,0.03191,,45,
2014,0000,"Total all flags",2250,"SIDS (Small island developing States) (UN-OHRLLS)",122062.722,,7.27714,,2788,
2014,0000,"Total all flags",226,"Equatorial Guinea",2.542,,0.00015,,2,
2014,0000,"Total all flags",231,"Ethiopia",433.778,,0.02586,,17,
2014,0000,"Total all flags",232,"Eritrea",12.812,,0.00076,,4,
2014,0000,"Total all flags",233,"Estonia",267.946,,0.01597,,70,
2014,0000,"Total all flags",234,"Faroe Islands",55.138,,0.00329,,19,
2014,0000,"Total all flags",2370,"Selected exporters of petroleum",82447.402,,4.91535,,3071,
2014,0000,"Total all flags",2371,"Selected exporters of manufactured goods",520070.041,,31.00555,,15819,
2014,0000,"Total all flags",2372,"Selected exporters of manufactured goods and primary commodities",332459.959,,19.8206,,11227,
2014,0000,"Total all flags",2373,"Selected exporters of agricultural products",4029.986,,0.24026,,343,
2014,0000,"Total all flags",2374,"Selected exporters of minerals and mining products",2909.048,,0.17343,,144,
2014,0000,"Total all flags",2376,"Selected LIFDC (Low-income food-deficit countries)",33273.778,,1.98372,,2130,
2014,0000,"Total all flags",2378,"LIFDC (Low-income food-deficit countries) (FAO)",34433.504,,2.05286,,2190,
2014,0000,"Total all flags",238,"Falkland Islands (Malvinas)",0,,0,,0,
2014,0000,"Total all flags",2411,"Net food-importing economies",1346136.8,,80.25401,,32147,
2014,0000,"Total all flags",2412,"Net food-exporting economies",325708.34,,19.41809,,14725,
2014,0000,"Total all flags",2413,"Net food-exporting developing economies",129336.857,,7.71081,,7080,
2014,0000,"Total all flags",2414,"Net food-exporting transition economies",3966.387,,0.23647,,396,
2014,0000,"Total all flags",2415,"Net food-exporting developed economies",192405.096,,11.47081,,7249,
2014,0000,"Total all flags",2416,"Major net food-exporting economies",319534.812,,19.05003,,14322,
2014,0000,"Total all flags",242,"Fiji",5.622,,0.00034,,8,
2014,0000,"Total all flags",2420,"Net food-importing developing economies",532114.986,,31.72364,,14245,
2014,0000,"Total all flags",2421,"Net food-importing transition economies",19766.401,,1.17843,,1927,
2014,0000,"Total all flags",2422,"Net food-importing developed economies",794255.413,,47.35194,,15975,
2014,0000,"Total all flags",2423,"Major net food-importing economies",1028374.285,,61.30964,,26688,
2014,0000,"Total all flags",246,"Finland",2016.448,,0.12022,,150,
2014,0000,"Total all flags",250,"France, metropolitan",10911.52,,0.65052,,423,
2014,0000,"Total all flags",2508,"Industrialized economies (UNIDO)",1058036.286,,63.07803,,27956,
2014,0000,"Total all flags",2509,"EIEs (Emerging Industrial Economies) (UNIDO)",572787.572,,34.14846,,15886,
2014,0000,"Total all flags",251,"France",28053.5,,1.67249,,604,
2014,0000,"Total all flags",2510,"Emerging markets",639731.711,,38.13954,,21341,
2014,0000,"Total all flags",2511,"Emerging markets: Africa",10446.533,,0.6228,,516,
2014,0000,"Total all flags",2512,"Emerging markets: America",27478.12,,1.63819,,873,
2014,0000,"Total all flags",2513,"Emerging markets: Asia",571729.487,,34.08538,,17521,
2014,0000,"Total all flags",2514,"Emerging markets: Europe and Kazakhstan",30077.571,,1.79317,,2431,
2014,0000,"Total all flags",258,"French Polynesia",23.008,,0.00137,,18,
2014,0000,"Total all flags",2611,"HIPCs (Heavily indebted poor countries) (IMF)",1473.513,,0.08785,,99,
2014,0000,"Total all flags",262,"Djibouti",3.205,,0.00019,,1,
2014,0000,"Total all flags",2621,"High-income developing economies",587354.949,,35.01694,,16202,
2014,0000,"Total all flags",2622,"Middle-income developing economies",71356.459,,4.25413,,4821,
2014,0000,"Total all flags",2623,"Low-income developing economies",2741.08,,0.16342,,302,
2014,0000,"Total all flags",2624,"Low-income economies (World Bank)",2744.867,,0.16364,,305,
