Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days) ,Median time in port (days)  Footnote,Average age of vessels,Average age of vessels Footnote,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",00,""All ships"",0.97,,18,,15066,,234006,,24210,,441561,,3538,,21413,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",01,""Passenger ships"",,,21,,8928,,228081,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",02,""Liquid bulk carriers"",0.94,,13,,15543,,234006,,27014,,441561,,,,,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",03,""Container ships"",0.7,,13,,38520,,217673,,,,,,3538,,21413,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",04,""Dry breakbulk carriers"",1.11,,19,,5438,,91784,,7384,,138743,,,,,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",05,""Dry bulk carriers"",2.05,,13,,31940,,203483,,57181,,404389,,,,,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",06,""Roll-on/ roll-off ships"",,,17,,25368,,100430,,10232,,55828,,,,,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",07,""Liquefied petroleum gas carriers"",1.02,,14,,10662,,58100,,12046,,64220,,,,,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",08,""Liquefied natural gas carriers"",1.11,,10,,93791,,168189,,72964,,155159,,,,,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",00,""All ships"",1.46,,31,,12773,,42363,,7805,,63057,,1063,,2500,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",01,""Passenger ships"",,,36,,16937,,42363,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",02,""Liquid bulk carriers"",1.85,,11,,16472,,26548,,25611,,42000,,,,,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",03,""Container ships"",0.86,,17,,11198,,26435,,,,,,1063,,2500,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",04,""Dry breakbulk carriers"",2.03,,29,,3126,,17634,,4247,,19366,,,,,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",05,""Dry bulk carriers"",1.99,,28,,6122,,36396,,9480,,63057,,,,,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",07,""Liquefied petroleum gas carriers"",0.9,,11,,8245,,20151,,9541,,24232,,,,,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",00,""All ships"",2.43,,16,,17177,,162542,,25269,,318130,,1148,,2207,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",01,""Passenger ships"",,,27,,20824,,47842,,,,,,,,,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",02,""Liquid bulk carriers"",1.54,,11,,28061,,162542,,48817,,318130,,,,,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",03,""Container ships"",2.96,,16,,12145,,28397,,,,,,1148,,2207,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",04,""Dry breakbulk carriers"",2.5,,16,,7049,,33448,,9409,,45474,,,,,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",05,""Dry bulk carriers"",6.85,,10,,24224,,70933,,40365,,120499,,,,,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",06,""Roll-on/ roll-off ships"",,,26,,11703,,76420,,6208,,27281,,,,,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",07,""Liquefied petroleum gas carriers"",1.37,,16,,18995,,48419,,22016,,55173,,,,,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",08,""Liquefied natural gas carriers"",1.07,,12,,76426,,118363,,60502,,94575,,,,,"
"2018A00,""2018"",2018,A,""Annual"",016,""American Samoa"",00,""All ships"",0.74,,13,,11242,,18723,,9966,,18091,,1216,,1740,"
"2018A00,""2018"",2018,A,""Annual"",016,""American Samoa"",03,""Container ships"",0.99,,11,,13020,,18723,,,,,,1216,,1740,"
"2018A00,""2018"",2018,A,""Annual"",016,""American Samoa"",04,""Dry breakbulk carriers"",0.57,,15,,8708,,18100,,9966,,18091,,,,,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",00,""All ships"",1.87,,13,,23579,,114364,,25506,,159513,,2994,,8700,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",02,""Liquid bulk carriers"",1.28,,12,,20072,,82870,,34728,,159513,,,,,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",03,""Container ships"",1.79,,16,,32204,,94483,,,,,,2994,,8700,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",04,""Dry breakbulk carriers"",2.06,,14,,8157,,39377,,10871,,64942,,,,,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",05,""Dry bulk carriers"",8.56,,10,,24753,,41091,,41116,,75200,,,,,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",06,""Roll-on/ roll-off ships"",,,11,,57734,,77000,,21887,,27965,,,,,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",07,""Liquefied petroleum gas carriers"",1.87,,12,,9525,,48772,,10887,,58159,,,,,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",08,""Liquefied natural gas carriers"",1.36,,7,,103489,,114364,,86400,,97730,,,,,"
"2018A00,""2018"",2018,A,""Annual"",028,""Antigua and Barbuda"",00,""All ships"",0.67,,16,,43526,,168666,,10618,,52914,,,,,"
"2018A00,""2018"",2018,A,""Annual"",028,""Antigua and Barbuda"",01,""Passenger ships"",,,15,,84583,,168666,,,,,,,,,"
