Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",00,""All ships"",4112944,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",01,""Passenger ships"",2227407,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",02,""Liquid bulk carriers"",494120,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",03,""Container ships"",454016,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",04,""Dry breakbulk carriers"",430344,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",05,""Dry bulk carriers"",259551,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",06,""Roll-on/ roll-off ships"",187532,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",07,""Liquefied petroleum gas carriers"",49357,"
"2018A00,""2018"",2018,A,""Annual"",0000,""World"",08,""Liquefied natural gas carriers"",10617,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",00,""All ships"",2085,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",01,""Passenger ships"",1252,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",02,""Liquid bulk carriers"",85,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",03,""Container ships"",148,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",04,""Dry breakbulk carriers"",482,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",05,""Dry bulk carriers"",52,"
"2018A00,""2018"",2018,A,""Annual"",008,""Albania"",07,""Liquefied petroleum gas carriers"",66,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",00,""All ships"",5284,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",01,""Passenger ships"",521,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",02,""Liquid bulk carriers"",781,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",03,""Container ships"",926,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",04,""Dry breakbulk carriers"",1721,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",05,""Dry bulk carriers"",645,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",06,""Roll-on/ roll-off ships"",232,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",07,""Liquefied petroleum gas carriers"",326,"
"2018A00,""2018"",2018,A,""Annual"",012,""Algeria"",08,""Liquefied natural gas carriers"",132,"
"2018A00,""2018"",2018,A,""Annual"",016,""American Samoa"",00,""All ships"",148,"
"2018A00,""2018"",2018,A,""Annual"",016,""American Samoa"",03,""Container ships"",87,"
"2018A00,""2018"",2018,A,""Annual"",016,""American Samoa"",04,""Dry breakbulk carriers"",61,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",00,""All ships"",1685,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",02,""Liquid bulk carriers"",485,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",03,""Container ships"",435,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",04,""Dry breakbulk carriers"",397,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",05,""Dry bulk carriers"",53,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",06,""Roll-on/ roll-off ships"",60,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",07,""Liquefied petroleum gas carriers"",196,"
"2018A00,""2018"",2018,A,""Annual"",024,""Angola"",08,""Liquefied natural gas carriers"",59,"
"2018A00,""2018"",2018,A,""Annual"",028,""Antigua and Barbuda"",00,""All ships"",833,"
"2018A00,""2018"",2018,A,""Annual"",028,""Antigua and Barbuda"",01,""Passenger ships"",377,"
"2018A00,""2018"",2018,A,""Annual"",028,""Antigua and Barbuda"",02,""Liquid bulk carriers"",192,"
"2018A00,""2018"",2018,A,""Annual"",028,""Antigua and Barbuda"",04,""Dry breakbulk carriers"",171,"
"2018A00,""2018"",2018,A,""Annual"",028,""Antigua and Barbuda"",06,""Roll-on/ roll-off ships"",93,"
"2018A00,""2018"",2018,A,""Annual"",031,""Azerbaijan"",00,""All ships"",2331,"
"2018A00,""2018"",2018,A,""Annual"",031,""Azerbaijan"",01,""Passenger ships"",596,"
"2018A00,""2018"",2018,A,""Annual"",031,""Azerbaijan"",02,""Liquid bulk carriers"",1107,"
"2018A00,""2018"",2018,A,""Annual"",031,""Azerbaijan"",04,""Dry breakbulk carriers"",406,"
"2018A00,""2018"",2018,A,""Annual"",031,""Azerbaijan"",06,""Roll-on/ roll-off ships"",222,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",00,""All ships"",12261,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",01,""Passenger ships"",3529,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",02,""Liquid bulk carriers"",3660,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",03,""Container ships"",1104,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",04,""Dry breakbulk carriers"",776,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",05,""Dry bulk carriers"",2793,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",06,""Roll-on/ roll-off ships"",277,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",07,""Liquefied petroleum gas carriers"",67,"
"2018A00,""2018"",2018,A,""Annual"",032,""Argentina"",08,""Liquefied natural gas carriers"",55,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",00,""All ships"",62029,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",01,""Passenger ships"",32246,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",02,""Liquid bulk carriers"",3673,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",03,""Container ships"",4425,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",04,""Dry breakbulk carriers"",2530,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",05,""Dry bulk carriers"",14690,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",06,""Roll-on/ roll-off ships"",3052,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",07,""Liquefied petroleum gas carriers"",360,"
"2018A00,""2018"",2018,A,""Annual"",036,""Australia"",08,""Liquefied natural gas carriers"",1053,"
"2018A00,""2018"",2018,A,""Annual"",040,""Austria"",00,""All ships"",1653,"
"2018A00,""2018"",2018,A,""Annual"",040,""Austria"",01,""Passenger ships"",1653,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",00,""All ships"",5787,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",01,""Passenger ships"",3326,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",02,""Liquid bulk carriers"",463,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",03,""Container ships"",958,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",04,""Dry breakbulk carriers"",548,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",05,""Dry bulk carriers"",93,"
"2018A00,""2018"",2018,A,""Annual"",044,""Bahamas"",06,""Roll-on/ roll-off ships"",399,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",00,""All ships"",1748,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",01,""Passenger ships"",28,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",02,""Liquid bulk carriers"",475,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",03,""Container ships"",322,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",04,""Dry breakbulk carriers"",323,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",05,""Dry bulk carriers"",378,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",06,""Roll-on/ roll-off ships"",211,"
"2018A00,""2018"",2018,A,""Annual"",048,""Bahrain"",07,""Liquefied petroleum gas carriers"",11,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",00,""All ships"",2611,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",02,""Liquid bulk carriers"",384,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",03,""Container ships"",1338,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",04,""Dry breakbulk carriers"",475,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",05,""Dry bulk carriers"",294,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",06,""Roll-on/ roll-off ships"",56,"
"2018A00,""2018"",2018,A,""Annual"",050,""Bangladesh"",07,""Liquefied petroleum gas carriers"",64,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",00,""All ships"",1149,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",01,""Passenger ships"",445,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",02,""Liquid bulk carriers"",145,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",03,""Container ships"",179,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",04,""Dry breakbulk carriers"",328,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",05,""Dry bulk carriers"",17,"
"2018A00,""2018"",2018,A,""Annual"",052,""Barbados"",06,""Roll-on/ roll-off ships"",35,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",00,""All ships"",32377,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",01,""Passenger ships"",566,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",02,""Liquid bulk carriers"",11237,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",03,""Container ships"",5034,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",04,""Dry breakbulk carriers"",6685,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",05,""Dry bulk carriers"",968,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",06,""Roll-on/ roll-off ships"",6629,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",07,""Liquefied petroleum gas carriers"",1156,"
"2018A00,""2018"",2018,A,""Annual"",056,""Belgium"",08,""Liquefied natural gas carriers"",102,"
"2018A00,""2018"",2018,A,""Annual"",060,""Bermuda"",00,""All ships"",175,"
"2018A00,""2018"",2018,A,""Annual"",060,""Bermuda"",01,""Passenger ships"",175,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",00,""All ships"",29084,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",01,""Passenger ships"",1538,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",02,""Liquid bulk carriers"",6426,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",03,""Container ships"",7521,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",04,""Dry breakbulk carriers"",1794,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",05,""Dry bulk carriers"",9518,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",06,""Roll-on/ roll-off ships"",899,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",07,""Liquefied petroleum gas carriers"",1377,"
"2018A00,""2018"",2018,A,""Annual"",076,""Brazil"",08,""Liquefied natural gas carriers"",11,"
"2018A00,""2018"",2018,A,""Annual"",084,""Belize"",00,""All ships"",530,"
"2018A00,""2018"",2018,A,""Annual"",084,""Belize"",01,""Passenger ships"",355,"
"2018A00,""2018"",2018,A,""Annual"",084,""Belize"",02,""Liquid bulk carriers"",21,"
"2018A00,""2018"",2018,A,""Annual"",084,""Belize"",03,""Container ships"",49,"
"2018A00,""2018"",2018,A,""Annual"",084,""Belize"",04,""Dry breakbulk carriers"",105,"
"2018A00,""2018"",2018,A,""Annual"",090,""Solomon Islands"",00,""All ships"",206,"
"2018A00,""2018"",2018,A,""Annual"",090,""Solomon Islands"",02,""Liquid bulk carriers"",50,"
"2018A00,""2018"",2018,A,""Annual"",090,""Solomon Islands"",03,""Container ships"",75,"
"2018A00,""2018"",2018,A,""Annual"",090,""Solomon Islands"",04,""Dry breakbulk carriers"",81,"
"2018A00,""2018"",2018,A,""Annual"",092,""British Virgin Islands"",00,""All ships"",293,"
"2018A00,""2018"",2018,A,""Annual"",092,""British Virgin Islands"",01,""Passenger ships"",123,"
"2018A00,""2018"",2018,A,""Annual"",092,""British Virgin Islands"",04,""Dry breakbulk carriers"",170,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",00,""All ships"",616,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",01,""Passenger ships"",105,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",02,""Liquid bulk carriers"",60,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",03,""Container ships"",207,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",04,""Dry breakbulk carriers"",155,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",05,""Dry bulk carriers"",40,"
"2018A00,""2018"",2018,A,""Annual"",096,""Brunei Darussalam"",06,""Roll-on/ roll-off ships"",49,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",00,""All ships"",3094,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",02,""Liquid bulk carriers"",744,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",03,""Container ships"",438,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",04,""Dry breakbulk carriers"",1416,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",05,""Dry bulk carriers"",405,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",06,""Roll-on/ roll-off ships"",50,"
"2018A00,""2018"",2018,A,""Annual"",100,""Bulgaria"",07,""Liquefied petroleum gas carriers"",41,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",00,""All ships"",593,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",02,""Liquid bulk carriers"",90,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",03,""Container ships"",355,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",04,""Dry breakbulk carriers"",72,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",05,""Dry bulk carriers"",65,"
"2018A00,""2018"",2018,A,""Annual"",104,""Myanmar"",06,""Roll-on/ roll-off ships"",11,"
"2018A00,""2018"",2018,A,""Annual"",1100,""Developed economies"",00,""All ships"",2735190,"
"2018A00,""2018"",2018,A,""Annual"",1100,""Developed economies"",01,""Passenger ships"",1839744,"
"2018A00,""2018"",2018,A,""Annual"",1100,""Developed economies"",02,""Liquid bulk carriers"",235417,"
"2018A00,""2018"",2018,A,""Annual"",1100,""Developed economies"",03,""Container ships"",161446,"
"2018A00,""2018"",2018,A,""Annual"",1100,""Developed economies"",04,""Dry breakbulk carriers"",234977,"
"2018A00,""2018"",2018,A,""Annual"",1100,""Developed economies"",05,""Dry bulk carriers"",103650,"
"2018A00,""2018"",2018,A,""Annual"",1100,""Developed economies"",06,""Roll-on/ roll-off ships"",132467,"
"2018A00,""2018"",2018,A,""Annual"",1100,""Developed economies"",07,""Liquefied petroleum gas carriers"",22329,"
"2018A00,""2018"",2018,A,""Annual"",1100,""Developed economies"",08,""Liquefied natural gas carriers"",5160,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",00,""All ships"",371456,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",01,""Passenger ships"",268720,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",02,""Liquid bulk carriers"",26732,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",03,""Container ships"",21948,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",04,""Dry breakbulk carriers"",11394,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",05,""Dry bulk carriers"",29272,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",06,""Roll-on/ roll-off ships"",11133,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",07,""Liquefied petroleum gas carriers"",1787,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",08,""Liquefied natural gas carriers"",470,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",00,""All ships"",271046,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",01,""Passenger ships"",85255,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",02,""Liquid bulk carriers"",44996,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",03,""Container ships"",40378,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",04,""Dry breakbulk carriers"",28624,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",05,""Dry bulk carriers"",29665,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",06,""Roll-on/ roll-off ships"",33707,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",07,""Liquefied petroleum gas carriers"",6398,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",08,""Liquefied natural gas carriers"",2023,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",00,""All ships"",2016673,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",01,""Passenger ships"",1446514,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",02,""Liquid bulk carriers"",159042,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",03,""Container ships"",91636,"
