MEASURE - Metric tons in millions

",YEAR,""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"""
"ECONOMY,""CARGO TYPE"","
"World,""Crude oil loaded"",1207,1210,1321,1514,1497,1364,1555,1599,1604,1725,1527,1364,1163,1069,1079,1049,1126,1107,1160,1260,1287,1333,1394,1443,1498,1532,1590,1626,1548,1553,1605,1678,1637,1690,1770,1857,1783.415,1813.685,1784.849,1710.139,1784.592,1750.981,1785.425,1737.674,1711.701,1760.751,1832.259,1874.572,1881.053,1860.158"
"World,""Other tanker trade loaded"",233,320,332,353,335,280,289,293,296,318,344,327,350,392,399,410,424,441,456,468,468,457,466,502,509,518,537,546,534,532,558,499,509,533,546,565,914.9099,933.6598,957.1575,931.1412,967.7164,1028.474,1054.708,1090.582,1121.5,1178.05,1238.107,1279.015,1319.745,1308.362"
"World,""Dry cargo loaded"",1165,1162,1221,1407,1472,1428,1522,1576,1650,1785,1833,1864,1760,1770,1886,1895,1835,1987,2119,2212,2253,2330,2360,2385,2478,2601,2631,2781,3549,3598,3821,3844,3981,4257,4442,4687,5003.782,5288.885,5485.523,5176.829,5648.615,5959.098,6357.247,6624.669,6983.243,7074.325,7176.248,7560.303,7818.362,7907.397"
"World,""Total goods loaded"",2605,2692,2874,3274,3304,3072,3366,3468,3550,3828,3704,3555,3273,3231,3364,3330,3385,3505,3735,3940,4008,4120,4220,4330,4485,4651,4758,4953,5631,5683,5984,6020,6127,6480,6758,7109,7702.107,8036.231,8227.529000000001,7818.109,8400.924000000001,8738.553,9197.380999999999,9452.926,9816.442999999999,10013.13,10246.61,10713.89,11019.16,11075.92"
"World,""Crude oil unloaded"",1101,1199,1325,1521,1470,1373,1522,1585,1634,1724,1530,1363,1283,1133,1166,1128,1220,1110,1194,1300,1315,1355,1414,1465,1508,1550,1599,1625,1515,1543,1633,1712,1696,1743,1773,1854,1939.89,1996.193,1942.79,1874.597,1939.385,1897.015,1930.007,1881.765,1850.156,1909.958,1985.472,2033.454,2048.803,2033.371"
"World,""Other tanker trade unloaded"",298,300,316,339,312,287,312,321,321,308,326,310,330,349,371,367,390,408,422,433,466,441,451,480,490,508,480,522,548,510,513,534,540,536,545,573,897.1749,901.6196,932.775,922.6986000000001,970.5974,1039.307,1055.843,1090.664,1087.559,1175.469,1234.766,1287.885,1338.55,1329.322"
"World,""Dry cargo unloaded"",1131,1134,1217,1377,1472,1395,1518,1536,1570,1782,1823,1838,1780,1830,1928,1938,1860,2120,2248,2337,2365,2449,2480,2477,2575,2685,2734,2890,3855,3955,4097,3954,4099,4324,4469,4696,5065.62,5165.49,5419.381,5044.116,5452.046,5766.035,6129.451,6510.822,6782.239,6879.3,7082.917,7365.66,7629.393,7720.299"
"World,""Total goods unloaded"",2529,2632,2858,3237,3254,3055,3352,3442,3525,3814,3679,3512,3393,3312,3465,3433,3470,3628,3866,4070,4126,4245,4345,4422,4573,4743,4815,5037,5918,6007,6242,6201,6335,6603,6787,7122,7902.684,8063.302,8294.946,7841.412,8362.029000000001,8702.357,9115.301,9483.251,9719.954,9964.726000000001,10303.15,10687,11016.75,11082.99"
"Africa,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",353.756,362.5101,379.1608,354.0006,343.5956,338.0051,364.2283,327.5335,304.329,293.676,271.3195,291.3245,297.437,293.4731"
