,Quarter,Quarter Label,Economy,Economy Label,Flow,Flow Label,"""Growth rate"," year-on-year""","""Growth rate"," year-on-year Footnote""",Growth rate (over previous period),Growth rate (over previous period) Footnote,Volume Index (2005=100)
1,2005Q01,"""Q1 2005""",0000,"""World""",01,"""Imports""",,,,,100,,100
2,2005Q01,"""Q1 2005""",0000,"""World""",02,"""Exports""",,,,,100,,100
277,2005Q02,"""Q2 2005""",0000,"""World""",01,"""Imports""",,,7.67535,,107.6753,,102.842
278,2005Q02,"""Q2 2005""",0000,"""World""",02,"""Exports""",,,7.72633,,107.7263,,103.197
553,2005Q03,"""Q3 2005""",0000,"""World""",01,"""Imports""",,,-0.56606,,107.0658,,104.027
554,2005Q03,"""Q3 2005""",0000,"""World""",02,"""Exports""",,,-0.5742,,107.1078,,104.769
829,2005Q04,"""Q4 2005""",0000,"""World""",01,"""Imports""",,,5.7109,,113.1803,,107.705
830,2005Q04,"""Q4 2005""",0000,"""World""",02,"""Exports""",,,6.10136,,113.6428,,108.284
1105,2006Q01,"""Q1 2006""",0000,"""World""",01,"""Imports""",11.37269,,-1.59708,,111.3727,,110.228
1106,2006Q01,"""Q1 2006""",0000,"""World""",02,"""Exports""",12.54395,,-0.96693,,112.544,,111.364
1381,2006Q02,"""Q2 2006""",0000,"""World""",01,"""Imports""",8.14595,,4.55573,,116.4465,,112.047
1382,2006Q02,"""Q2 2006""",0000,"""World""",02,"""Exports""",8.59527,,3.94668,,116.9857,,113.16
1657,2006Q03,"""Q3 2006""",0000,"""World""",01,"""Imports""",7.90818,,-0.78467,,115.5328,,112.514
1658,2006Q03,"""Q3 2006""",0000,"""World""",02,"""Exports""",8.50075,,-0.66074,,116.2127,,114.018
1933,2006Q04,"""Q4 2006""",0000,"""World""",01,"""Imports""",7.05601,,4.87607,,121.1663,,115.606
1934,2006Q04,"""Q4 2006""",0000,"""World""",02,"""Exports""",7.4641,,5.08763,,122.1252,,117.13
2209,2007Q01,"""Q1 2007""",0000,"""World""",01,"""Imports""",6.70135,,-1.92306,,118.8362,,118.022
2210,2007Q01,"""Q1 2007""",0000,"""World""",02,"""Exports""",6.15215,,-2.17595,,119.4678,,118.44
2485,2007Q02,"""Q2 2007""",0000,"""World""",01,"""Imports""",5.85394,,3.72536,,123.2632,,118.947
2486,2007Q02,"""Q2 2007""",0000,"""World""",02,"""Exports""",5.77689,,3.57922,,123.7438,,119.788
2761,2007Q03,"""Q3 2007""",0000,"""World""",01,"""Imports""",6.85851,,0.15689,,123.4566,,120.135
2762,2007Q03,"""Q3 2007""",0000,"""World""",02,"""Exports""",6.52288,,0.03985,,123.7931,,121.676
3037,2007Q04,"""Q4 2007""",0000,"""World""",01,"""Imports""",5.97155,,4.00557,,128.4018,,121.557
3038,2007Q04,"""Q4 2007""",0000,"""World""",02,"""Exports""",6.24904,,4.81748,,129.7569,,123.559
3313,2008Q01,"""Q1 2008""",0000,"""World""",01,"""Imports""",4.25144,,-3.51503,,123.8884,,123.813
3314,2008Q01,"""Q1 2008""",0000,"""World""",02,"""Exports""",5.33057,,-3.02159,,125.8361,,125.625
3589,2008Q02,"""Q2 2008""",0000,"""World""",01,"""Imports""",4.44067,,3.91364,,128.737,,123.51
3590,2008Q02,"""Q2 2008""",0000,"""World""",02,"""Exports""",5.5522,,3.79717,,130.6143,,125.519
3865,2008Q03,"""Q3 2008""",0000,"""World""",01,"""Imports""",4.47333,,0.18821,,128.9793,,123.8
3866,2008Q03,"""Q3 2008""",0000,"""World""",02,"""Exports""",4.77056,,-0.70098,,129.6988,,125.079
4141,2008Q04,"""Q4 2008""",0000,"""World""",01,"""Imports""",-3.92652,,-4.35667,,123.3601,,115.917
4142,2008Q04,"""Q4 2008""",0000,"""World""",02,"""Exports""",-7.21122,,-7.16966,,120.3998,,114.111
4417,2009Q01,"""Q1 2009""",0000,"""World""",01,"""Imports""",-16.77494,,-16.41848,,103.1062,,103.843
4418,2009Q01,"""Q1 2009""",0000,"""World""",02,"""Exports""",-18.33844,,-14.65123,,102.7597,,103.398
4693,2009Q02,"""Q2 2009""",0000,"""World""",01,"""Imports""",-17.78511,,2.65236,,105.841,,102.119
4694,2009Q02,"""Q2 2009""",0000,"""World""",02,"""Exports""",-18.44679,,3.65946,,106.5202,,103.236
4969,2009Q03,"""Q3 2009""",0000,"""World""",01,"""Imports""",-13.56414,,5.33194,,111.4843,,106.022
4970,2009Q03,"""Q3 2009""",0000,"""World""",02,"""Exports""",-13.68395,,5.09825,,111.9509,,108.119
5245,2009Q04,"""Q4 2009""",0000,"""World""",01,"""Imports""",-4.48332,,5.69148,,117.8294,,110.983
5246,2009Q04,"""Q4 2009""",0000,"""World""",02,"""Exports""",-0.86827,,6.61322,,119.3544,,113.306
5521,2010Q01,"""Q1 2010""",0000,"""World""",01,"""Imports""",12.08979,,-1.91625,,115.5715,,115.796
5522,2010Q01,"""Q1 2010""",0000,"""World""",02,"""Exports""",14.00947,,-1.84205,,117.1558,,117.372
5797,2010Q02,"""Q2 2010""",0000,"""World""",01,"""Imports""",18.13771,,8.19107,,125.0381,,120.247
5798,2010Q02,"""Q2 2010""",0000,"""World""",02,"""Exports""",18.56863,,7.80472,,126.2995,,121.688
6073,2010Q03,"""Q3 2010""",0000,"""World""",01,"""Imports""",14.68954,,2.25754,,127.8609,,122.044
6074,2010Q03,"""Q3 2010""",0000,"""World""",02,"""Exports""",13.69174,,0.77541,,127.2789,,123.025
6349,2010Q04,"""Q4 2010""",0000,"""World""",01,"""Imports""",11.80876,,3.03672,,131.7436,,124.871
6350,2010Q04,"""Q4 2010""",0000,"""World""",02,"""Exports""",11.62375,,4.67398,,133.2279,,126.826
6625,2011Q01,"""Q1 2011""",0000,"""World""",01,"""Imports""",10.1652,,-3.35805,,127.3196,,126.173
6626,2011Q01,"""Q1 2011""",0000,"""World""",02,"""Exports""",9.81252,,-3.43478,,128.6518,,128.046
6901,2011Q02,"""Q2 2011""",0000,"""World""",01,"""Imports""",5.39393,,3.5053,,131.7826,,126.604
6902,2011Q02,"""Q2 2011""",0000,"""World""",02,"""Exports""",5.83824,,3.90311,,133.6732,,128.698
7177,2011Q03,"""Q3 2011""",0000,"""World""",01,"""Imports""",4.75295,,1.63563,,133.938,,128.863
7178,2011Q03,"""Q3 2011""",0000,"""World""",02,"""Exports""",5.76169,,0.70252,,134.6123,,130.764
7453,2011Q04,"""Q4 2011""",0000,"""World""",01,"""Imports""",2.64368,,0.962,,135.2265,,128.796
7454,2011Q04,"""Q4 2011""",0000,"""World""",02,"""Exports""",2.34092,,1.2884,,136.3466,,130.525
7729,2012Q01,"""Q1 2012""",0000,"""World""",01,"""Imports""",2.67858,,-3.32519,,130.73,,128.649
7730,2012Q01,"""Q1 2012""",0000,"""World""",02,"""Exports""",3.05394,,-2.76201,,132.5807,,130.993
8005,2012Q02,"""Q2 2012""",0000,"""World""",01,"""Imports""",2.69864,,3.52553,,135.3389,,130.527
8006,2012Q02,"""Q2 2012""",0000,"""World""",02,"""Exports""",3.13099,,3.9808,,137.8585,,132.973
8281,2012Q03,"""Q3 2012""",0000,"""World""",01,"""Imports""",0.67751,,-0.36458,,134.8455,,130.439
8282,2012Q03,"""Q3 2012""",0000,"""World""",02,"""Exports""",0.59138,,-1.77729,,135.4084,,132.62
8557,2012Q04,"""Q4 2012""",0000,"""World""",01,"""Imports""",1.59375,,1.88082,,137.3817,,130.017
8558,2012Q04,"""Q4 2012""",0000,"""World""",02,"""Exports""",1.3582,,2.06053,,138.1985,,131.976
8833,2013Q01,"""Q1 2013""",0000,"""World""",01,"""Imports""",0.87173,,-4.01225,,131.8696,,131.404
8834,2013Q01,"""Q1 2013""",0000,"""World""",02,"""Exports""",0.56408,,-3.52384,,133.3286,,133.404
9109,2013Q02,"""Q2 2013""",0000,"""World""",01,"""Imports""",2.10459,,4.79082,,138.1872,,133.18
9110,2013Q02,"""Q2 2013""",0000,"""World""",02,"""Exports""",1.40432,,4.84958,,139.7945,,134.581
9385,2013Q03,"""Q3 2013""",0000,"""World""",01,"""Imports""",2.99129,,0.50068,,138.8791,,133.511
9386,2013Q03,"""Q3 2013""",0000,"""World""",02,"""Exports""",2.7216,,-0.50134,,139.0936,,135.312
9661,2013Q04,"""Q4 2013""",0000,"""World""",01,"""Imports""",3.16286,,2.05055,,141.7269,,133.722
