,Brent price
1992,19.319727626459148
1993,17.013412698412715
1994,15.856388888888894
1995,17.01584980237154
1996,20.6398031496063
1997,19.108508064516133
1998,12.758102766798409
1999,17.901566265060247
2000,28.660671936758895
2001,24.455719844357976
2002,24.99325490196077
2003,28.85081395348839
2004,38.25969348659005
2005,54.57455252918287
2006,65.16176470588233
2007,72.44115999999994
2008,96.94434782608705
2009,61.73876984126986
2010,79.60944444444452
2011,111.26427419354835
2012,111.57068273092368
2013,108.55500000000012
2014,98.9696062992126
2015,52.316549019607855
2016,43.638
2017,54.12480468750002
2018,71.33500000000002
2019,64.31984496124032
2020,42.10101562499999
2021,54.689375
