,Year,Series Label,Economy,Economy Label,US dollars at current prices in millions,US dollars at current prices per capita,US dollars at constant prices (2015) in millions,US dollars at constant prices (2015) per capita
252,1970,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",3093868.465,1110.284,15980203.278,5734.75
652,1971,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",3398112.396,1196.917,16645543.109,5863.058
1052,1972,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",3917580.927,1354.714,17550505.832,6069.032
1452,1973,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",4751363.778,1613.709,18707320.972,6353.581
1852,1974,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",5279116.245,1761.935,19032055.848,6352.055
2252,1975,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",5909563.555,1939.594,19177181.805,6294.195
2652,1976,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",6342082.475,2048.312,20158519.218,6510.629
3052,1977,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",7117456.958,2263.418,20978816.631,6671.46
3452,1978,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",8472228.839,2654.005,21913324.283,6864.554
3852,1979,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",9712336.252,2997.614,22802257.298,7037.686
4252,1980,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",10763214.089,3273.026,23225721.239,7062.796
4652,1981,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",10987277.368,3292.038,23674751.567,7093.493
5052,1982,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",10879610.267,3212.036,23742358.143,7009.563
5454,1983,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",11173423.56,3250.272,24457889.892,7114.631
5856,1984,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",11531907.378,3304.581,25654378.89,7351.513
6258,1985,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",11983736.081,3382.056,26593105.222,7505.12
6660,1986,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",14033062.449,3899.23,27503303.332,7642.074
7062,1987,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",15952609.56,4363.271,28511600.021,7798.337
7464,1988,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",17891627.103,4817.789,29852577.694,8038.587
7866,1989,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",18728931.95,4967.99,30973445.002,8215.939
8268,1990,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",20831430.87,5447.967,31862399.621,8332.856
8669,1991,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",21903501.853,5653.152,32262473.93,8326.736
9079,1992,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",23264522.75,6128.955,32603653.782,8589.316
9501,1993,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",23685408.814,6165.651,33182518.06,8637.885
9924,1994,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",25287980.38,6507.348,34306602.008,8828.107
10347,1995,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",28026253.073,7131.14,35342884.668,8992.821
10770,1996,"""Total gross domestic product""",3916,"""G20 (Group of Twenty)""",28504984.664,7173.24,36561574.859,9200.669
