Year,ShipType Label,Dead weight tons in thousands,Percentage of total fleet,Number of ships
1980,Bulk carriers,181880.282,27.05978,0.0
1980,Container ships,10290.114,1.53094,0.0
1980,General cargo,112840.897,16.78824,0.0
1980,Oil tankers,337895.557,50.27142,0.0
1980,Other types of ships,29235.638,4.34962,0.0
1980,Total fleet,672142.488,100.0,0.0
1981,Bulk carriers,184501.243,27.14432,0.0
1981,Container ships,11060.523,1.62725,0.0
1981,General cargo,114832.851,16.89452,0.0
1981,Oil tankers,338616.336,49.81815,0.0
1981,Other types of ships,30693.841,4.51576,0.0
1981,Total fleet,679704.794,100.0,0.0
1982,Bulk carriers,193217.208,28.16459,0.0
1982,Container ships,12108.264,1.76498,0.0
1982,General cargo,113293.837,16.51444,0.0
1982,Oil tankers,334237.813,48.72066,0.0
1982,Other types of ships,33171.788,4.83533,0.0
1982,Total fleet,686028.91,100.0,0.0
1983,Bulk carriers,204630.713,29.65262,0.0
1983,Container ships,12809.767,1.85624,0.0
1983,General cargo,113269.092,16.41359,0.0
1983,Oil tankers,323668.186,46.9021,0.0
1983,Other types of ships,35715.383,5.17544,0.0
1983,Total fleet,690093.141,100.0,0.0
1984,Bulk carriers,212915.21,31.24036,0.0
1984,Container ships,14088.79,2.0672,0.0
1984,General cargo,111863.049,16.4133,0.0
1984,Oil tankers,304466.296,44.67336,0.0
1984,Other types of ships,38205.507,5.60577,0.0
1984,Total fleet,681538.852,100.0,0.0
1985,Bulk carriers,218518.136,32.70543,0.0
1985,Container ships,17266.77,2.5843,0.0
1985,General cargo,108308.363,16.21043,0.0
1985,Oil tankers,284945.86,42.64762,0.0
1985,Other types of ships,39101.01,5.85222,0.0
1985,Total fleet,668140.139,100.0,0.0
1986,Bulk carriers,227550.78,34.77629,0.0
1986,Container ships,18732.552,2.86287,0.0
1986,General cargo,103920.992,15.88211,0.0
1986,Oil tankers,258932.401,39.5723,0.0
1986,Other types of ships,45190.681,6.90643,0.0
1986,Total fleet,654327.406,100.0,0.0
1987,Bulk carriers,226967.377,35.89905,0.0
1987,Container ships,20180.653,3.19194,0.0
1987,General cargo,100221.979,15.85194,0.0
1987,Oil tankers,238144.528,37.66692,0.0
1987,Other types of ships,46723.246,7.39014,0.0
1987,Total fleet,632237.783,100.0,0.0
1988,Bulk carriers,223659.13,35.78284,0.0
1988,Container ships,21489.531,3.43807,0.0
1988,General cargo,97110.251,15.5365,0.0
1988,Oil tankers,234908.375,37.58259,0.0
1988,Other types of ships,47878.48,7.66,0.0
1988,Total fleet,625045.766,100.0,0.0
1989,Bulk carriers,222432.047,35.8337,0.0
1989,Container ships,22295.221,3.59175,0.0
1989,General cargo,93795.681,15.11044,0.0
1989,Oil tankers,233608.542,37.63423,0.0
1989,Other types of ships,48602.749,7.82988,0.0
1989,Total fleet,620734.24,100.0,0.0
1990,Bulk carriers,223619.0,35.49643,0.0
1990,Container ships,22346.0,3.54712,0.0
1990,General cargo,100457.0,15.94616,0.0
1990,Oil tankers,235785.0,37.42762,0.0
1990,Other types of ships,47770.0,7.58283,0.0
1990,Total fleet,629976.0,100.0,0.0
