Year,Series,Series Label,Economy,Economy Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,US dollars at current prices per capita,US dollars at current prices per capita Footnote,US dollars at constant prices (2015) in millions,US dollars at constant prices (2015) in millions Footnote,US dollars at constant prices (2015) per capita,US dollars at constant prices (2015) per capita Footnote
"1970,5100,""Total gross domestic product"",0000,""World"",3418983.204,,923.906,,18067626.382,,4881.947,"
"1970,5100,""Total gross domestic product"",004,""Afghanistan"",1731.436,,154.957,,10467.59,,936.81,"
"1970,5100,""Total gross domestic product"",008,""Albania"",2265.577,,1053.412,,3171.932,,1474.834,"
"1970,5100,""Total gross domestic product"",012,""Algeria"",5155.121,,356.386,,34858.472,,2409.851,"
"1970,5100,""Total gross domestic product"",020,""Andorra"",99.477,,4097.911,,895.861,,36904.688,"
"1970,5100,""Total gross domestic product"",024,""Angola"",3807.846,,646.454,,26636.256,,4522.008,"
"1970,5100,""Total gross domestic product"",028,""Antigua and Barbuda"",33.866,,527.637,,283.351,,4414.667,"
"1970,5100,""Total gross domestic product"",032,""Argentina"",33984.527,,1423.104,,246484.664,,10321.56,"
"1970,5100,""Total gross domestic product"",036,""Australia"",45151.687,,3529.397,,314442.894,,24579.235,"
"1970,5100,""Total gross domestic product"",040,""Austria"",15373.057,,2045.313,,135119.01,,17976.947,"
"1970,5100,""Total gross domestic product"",044,""Bahamas"",762.965,,4504.564,,4658.974,,27506.695,"
"1970,5100,""Total gross domestic product"",048,""Bahrain"",422.004,,1984.9,,4710.483,,22155.821,"
"1970,5100,""Total gross domestic product"",050,""Bangladesh"",6195.775,,96.459,,32654.188,,508.375,"
"1970,5100,""Total gross domestic product"",052,""Barbados"",217.985,,912.47,,2633.675,,11024.406,"
"1970,5100,""Total gross domestic product"",056,""Belgium"",26706.894,,2772.674,,172590.177,,17918.082,"
"1970,5100,""Total gross domestic product"",060,""Bermuda"",265.536,,5051.576,,3019.675,,57446.503,"
"1970,5100,""Total gross domestic product"",064,""Bhutan"",61.776,,207.784,,102.292,,344.063,"
"1970,5100,""Total gross domestic product"",068,""Bolivia (Plurinational State of)"",1010.101,,225.268,,8040.84,,1793.228,"
"1970,5100,""Total gross domestic product"",072,""Botswana"",66.797,,106.414,,380.185,,605.667,"
"1970,5100,""Total gross domestic product"",076,""Brazil"",35213.858,,370.231,,348869.162,,3667.934,"
"1970,5100,""Total gross domestic product"",084,""Belize"",27.918,,228.49,,282.191,,2309.562,"
"1970,5100,""Total gross domestic product"",090,""Solomon Islands"",32.032,,199.9,,172.792,,1078.33,"
"1970,5100,""Total gross domestic product"",092,""British Virgin Islands"",11.614,,1181.46,,74.404,,7569.099,"
"1970,5100,""Total gross domestic product"",096,""Brunei Darussalam"",224.92,,1736.431,,4971.994,,38384.883,"
"1970,5100,""Total gross domestic product"",100,""Bulgaria"",9000,,1057.885,,14890.472,,1750.267,"
"1970,5100,""Total gross domestic product"",104,""Myanmar"",2725.746,,99.957,,4263.971,,156.367,"
"1970,5100,""Total gross domestic product"",108,""Burundi"",245.437,,70.547,,1033.921,,297.183,"
"1970,5100,""Total gross domestic product"",116,""Cambodia"",767.724,,109.729,,3776.894,,539.82,"
"1970,5100,""Total gross domestic product"",120,""Cameroon"",1315.837,,201.823,,6891.772,,1057.06,"
"1970,5100,""Total gross domestic product"",124,""Canada"",89228.311,,4174.556,,458105.081,,21432.492,"
"1970,5100,""Total gross domestic product"",132,""Cabo Verde"",72.941,,271.525,,258.286,,961.483,"
"1970,5100,""Total gross domestic product"",136,""Cayman Islands"",31.074,,3398.688,,354.817,,38807.459,"
"1970,5100,""Total gross domestic product"",140,""Central African Republic"",275.964,,152.369,,1426.987,,787.887,"
"1970,5100,""Total gross domestic product"",144,""Sri Lanka"",2815.13,,225.468,,9357.328,,749.441,"
"1970,5100,""Total gross domestic product"",148,""Chad"",355.302,,97.514,,2096.938,,575.511,"
"1970,5100,""Total gross domestic product"",152,""Chile"",9680.015,,989.459,,42173.767,,4310.865,"
"1970,5100,""Total gross domestic product"",156,""China"",92602.618,,111.893,,231749.407,,280.025,"
"1970,5100,""Total gross domestic product"",158,""China, Taiwan Province of"",5784.925,,387.614,,27019.776,,1810.436,"
"1970,5100,""Total gross domestic product"",170,""Colombia"",10126.967,,471.459,,50611.192,,2356.194,"
"1970,5100,""Total gross domestic product"",174,""Comoros"",37.477,,162.905,,265.643,,1154.694,"
"1970,5100,""Total gross domestic product"",178,""Congo"",283.678,,213.791,,1919.269,,1446.437,"
"1970,5100,""Total gross domestic product"",180,""Congo, Dem. Rep. of the"",4772.455,,238.491,,25829.076,,1290.742,"
"1970,5100,""Total gross domestic product"",184,""Cook Islands"",11.153,,523.596,,111.41,,5230.26,"
"1970,5100,""Total gross domestic product"",188,""Costa Rica"",1252.532,,677.999,,8501.699,,4601.995,"
"1970,5100,""Total gross domestic product"",192,""Cuba"",5692.937,,653.419,,23140.632,,2656.016,"
"1970,5100,""Total gross domestic product"",196,""Cyprus"",616.074,,1004.002,,3725.7,,6071.693,"
"1970,5100,""Total gross domestic product"",200,""Czechoslovakia"",16294.289,,1134.976,,90572,,6308.776,"
"1970,5100,""Total gross domestic product"",204,""Benin"",322.055,,110.583,,1285.853,,441.519,"
"1970,5100,""Total gross domestic product"",208,""Denmark"",17075.467,,3462.713,,132721.329,,26914.398,"
"1970,5100,""Total gross domestic product"",2101,""Developed economies: Asia and Oceania"",270277.837,,2191.067,,1846041.565,,14965.345,"
"1970,5100,""Total gross domestic product"",2102,""Developing economies: Asia and Oceania"",298731.105,,149.715,,1433683.331,,717.61,"
"1970,5100,""Total gross domestic product"",2103,""Developed economies: Asia"",218629.284,,2029.174,,1472363.264,,13665.511,"
"1970,5100,""Total gross domestic product"",2104,""Developing economies: Asia"",296555.129,,148.935,,1421712.13,,713.099,"
"1970,5100,""Total gross domestic product"",2105,""Developed economies: Oceania"",51648.553,,3308.383,,373678.301,,23936.213,"
