iter	Passed	Remaining
0	16	16465
1	27	13643
2	38	12895
3	47	11848
4	55	11032
5	63	10547
6	71	10162
7	80	9987
8	88	9736
9	104	10342
10	114	10309
11	122	10106
12	130	9940
13	147	10379
14	165	10837
15	178	11004
16	186	10770
17	194	10622
18	202	10460
19	210	10319
20	218	10182
21	227	10107
22	237	10068
23	244	9939
24	254	9942
25	262	9816
26	271	9776
27	279	9688
28	287	9633
29	294	9523
30	303	9482
31	311	9433
32	320	9404
33	327	9313
34	334	9234
35	351	9402
36	364	9498
37	373	9445
38	381	9400
39	389	9336
40	398	9319
41	405	9244
42	413	9196
43	419	9124
44	427	9070
45	433	8998
46	440	8938
47	447	8878
48	454	8817
49	461	8769
50	470	8746
51	477	8699
52	484	8652
53	491	8614
54	499	8583
55	506	8544
56	515	8526
57	528	8590
58	537	8572
59	545	8543
60	553	8525
61	560	8478
62	567	8439
63	574	8395
64	580	8355
65	590	8358
66	599	8344
67	606	8307
68	613	8279
69	622	8266
70	631	8259
71	638	8223
72	645	8198
73	652	8161
74	658	8123
75	665	8095
76	673	8068
77	680	8044
78	687	8009
79	697	8019
80	704	7991
81	711	7966
82	719	7952
83	727	7936
84	735	7914
85	742	7891
86	749	7870
87	757	7845
88	763	7817
89	772	7813
90	780	7795
91	789	7787
92	796	7772
93	805	7761
94	812	7744
95	821	7733
96	832	7754
97	842	7753
98	850	7741
99	858	7727
100	866	7716
101	878	7738
102	889	7744
103	899	7749
104	908	7741
105	921	7770
106	938	7832
107	954	7880
108	970	7934
109	980	7934
110	988	7916
111	996	7897
112	1005	7894
113	1014	7888
114	1022	7864
115	1029	7847
116	1036	7823
117	1043	7799
118	1053	7801
119	1061	7785
120	1069	7769
121	1081	7781
122	1091	7785
123	1098	7762
124	1107	7751
125	1113	7725
126	1120	7705
127	1127	7678
128	1133	7653
129	1140	7633
130	1147	7610
131	1154	7592
132	1161	7570
133	1168	7553
134	1175	7529
135	1183	7518
136	1191	7508
137	1200	7496
138	1206	7476
139	1213	7452
140	1220	7433
141	1231	7443
142	1240	7432
143	1250	7431
144	1259	7425
145	1267	7411
146	1273	7391
147	1280	7374
148	1287	7352
149	1295	7338
150	1301	7317
151	1308	7298
152	1314	7277
153	1320	7256
154	1328	7240
155	1334	7220
156	1342	7206
157	1348	7187
158	1355	7169
159	1361	7150
160	1368	7130
161	1375	7114
162	1381	7095
163	1389	7085
164	1396	7065
165	1406	7065
166	1412	7046
167	1420	7033
168	1429	7027
169	1436	7014
170	1444	7002
171	1451	6986
172	1457	6969
173	1464	6954
174	1472	6939
175	1478	6921
176	1486	6911
177	1494	6903
178	1504	6899
179	1512	6889
180	1518	6872
181	1525	6856
182	1532	6842
183	1539	6826
184	1547	6815
185	1554	6803
186	1564	6801
187	1571	6788
188	1580	6783
189	1590	6779
190	1598	6768
191	1606	6761
192	1614	6748
193	1620	6734
194	1627	6718
195	1633	6702
196	1641	6692
197	1648	6676
198	1655	6661
199	1661	6646
200	1668	6631
201	1675	6617
202	1682	6604
203	1689	6592
204	1696	6577
205	1702	6562
206	1709	6549
207	1715	6533
208	1722	6519
209	1729	6505
210	1737	6495
211	1743	6480
212	1750	6468
213	1762	6472
214	1769	6460
215	1777	6452
216	1786	6447
217	1795	6442
218	1803	6430
219	1809	6415
220	1817	6404
221	1822	6388
222	1829	6374
223	1835	6359
224	1842	6347
225	1848	6332
226	1855	6316
227	1864	6313
228	1870	6298
229	1878	6287
230	1883	6271
231	1890	6256
232	1896	6241
233	1902	6227
234	1909	6214
235	1916	6204
236	1923	6191
237	1929	6177
238	1939	6176
239	1946	6165
240	1954	6154
241	1962	6147
242	1971	6142
243	1979	6134
244	1987	6123
245	1993	6110
246	2000	6098
247	2007	6086
248	2013	6073
249	2020	6062
250	2027	6050
251	2035	6043
252	2042	6030
253	2050	6021
254	2057	6010
255	2064	5998
256	2070	5986
257	2077	5974
258	2083	5961
259	2090	5949
260	2098	5940
261	2104	5928
262	2115	5929
263	2122	5916
264	2130	5908
265	2138	5900
266	2146	5893
267	2155	5887
268	2162	5877
269	2172	5872
270	2180	5864
271	2188	5856
272	2194	5844
273	2201	5833
274	2208	5823
275	2215	5812
276	2222	5801
277	2229	5789
278	2236	5779
279	2243	5769
280	2249	5756
281	2256	5746
282	2263	5734
283	2270	5724
284	2277	5713
285	2284	5704
286	2294	5700
287	2302	5693
288	2310	5683
289	2318	5677
290	2325	5666
291	2334	5660
292	2341	5649
293	2348	5640
294	2355	5628
295	2363	5621
296	2370	5610
297	2378	5602
298	2384	5590
299	2390	5578
300	2397	5567
301	2403	5556
302	2410	5545
303	2417	5533
304	2423	5522
305	2430	5513
306	2437	5502
307	2444	5491
308	2450	5480
309	2457	5469
310	2467	5466
311	2477	5463
312	2493	5473
313	2503	5469
314	2510	5460
315	2517	5450
316	2524	5439
317	2531	5428
318	2538	5420
319	2545	5408
320	2551	5397
321	2558	5386
322	2564	5375
323	2571	5364
324	2577	5353
325	2585	5344
326	2591	5333
327	2597	5322
328	2604	5311
329	2610	5300
330	2618	5291
331	2624	5280
332	2632	5272
333	2638	5261
334	2648	5257
335	2654	5246
336	2661	5236
337	2670	5231
338	2679	5225
339	2687	5216
340	2695	5208
341	2701	5198
342	2709	5189
343	2715	5178
344	2722	5168
345	2728	5158
346	2735	5147
347	2742	5138
348	2753	5135
349	2761	5129
350	2769	5121
351	2776	5110
352	2782	5100
353	2790	5091
354	2798	5084
355	2807	5077
356	2813	5067
357	2824	5064
358	2830	5053
359	2838	5045
360	2846	5037
361	2854	5030
362	2861	5022
363	2870	5015
364	2876	5004
365	2882	4993
366	2889	4983
367	2895	4973
368	2902	4964
369	2909	4954
370	2916	4944
371	2922	4933
372	2929	4924
373	2936	4914
374	2940	4901
375	2948	4892
376	2954	4882
377	2961	4873
378	2967	4862
379	2974	4853
380	2981	4843
381	2988	4834
382	2999	4832
383	3008	4825
384	3015	4817
385	3023	4809
386	3032	4803
387	3042	4798
388	3048	4787
389	3055	4778
390	3062	4769
391	3068	4759
392	3075	4750
393	3082	4740
394	3089	4731
395	3095	4720
396	3103	4713
397	3112	4708
398	3120	4700
399	3127	4691
400	3135	4683
401	3141	4673
402	3149	4665
403	3155	4655
404	3162	4646
405	3172	4641
406	3180	4633
407	3188	4626
408	3196	4619
409	3204	4611
410	3212	4603
411	3219	4594
412	3226	4586
413	3233	4577
414	3240	4567
415	3247	4558
416	3254	4549
417	3261	4540
418	3267	4530
419	3274	4521
420	3280	4511
421	3287	4502
422	3294	4494
423	3300	4484
424	3307	4475
425	3314	4465
426	3321	4457
427	3328	4448
428	3335	4439
429	3342	4430
430	3352	4426
431	3359	4417
432	3367	4409
433	3375	4401
434	3383	4395
435	3390	4386
436	3398	4378
437	3405	4370
438	3414	4363
439	3423	4356
440	3430	4348
441	3436	4338
442	3446	4332
443	3453	4324
444	3462	4318
445	3469	4309
446	3476	4300
447	3482	4291
448	3488	4280
449	3494	4271
450	3501	4262
451	3509	4254
452	3515	4245
453	3526	4240
454	3532	4231
455	3539	4222
456	3547	4215
457	3554	4206
458	3562	4198
459	3571	4192
460	3579	4184
461	3586	4176
462	3592	4166
463	3599	4157
464	3605	4148
465	3612	4139
466	3619	4131
467	3626	4122
468	3633	4113
469	3639	4104
470	3646	4095
471	3653	4086
472	3660	4078
473	3670	4073
474	3677	4064
475	3684	4055
476	3690	4046
477	3697	4038
478	3710	4035
479	3722	4032
480	3733	4028
481	3741	4021
482	3749	4012
483	3756	4005
484	3763	3996
485	3769	3986
486	3777	3978
487	3783	3969
488	3790	3961
489	3797	3952
490	3805	3945
491	3811	3935
492	3818	3927
493	3825	3918
494	3832	3910
495	3840	3902
496	3846	3893
497	3853	3884
498	3859	3875
499	3867	3867
500	3874	3858
501	3884	3853
502	3891	3844
503	3900	3838
504	3907	3830
505	3915	3822
506	3922	3814
507	3931	3807
508	3937	3798
509	3944	3789
510	3951	3781
511	3958	3772
512	3965	3764
513	3973	3757
514	3980	3748
515	3987	3739
516	3994	3732
517	4001	3723
518	4009	3715
519	4015	3707
520	4022	3698
521	4030	3690
522	4038	3683
523	4047	3676
524	4059	3672
525	4068	3666
526	4076	3659
527	4085	3652
528	4094	3645
529	4102	3637
530	4109	3629
531	4115	3620
532	4123	3612
533	4129	3603
534	4136	3595
535	4143	3586
536	4150	3578
537	4157	3570
538	4163	3561
539	4170	3552
540	4177	3543
541	4185	3536
542	4190	3526
543	4196	3517
544	4203	3509
545	4209	3500
546	4216	3492
547	4222	3483
548	4234	3479
549	4242	3471
550	4250	3463
551	4259	3456
552	4268	3449
553	4276	3443
554	4284	3435
555	4292	3428
556	4299	3419
557	4305	3410
558	4313	3402
559	4320	3394
560	4328	3386
561	4335	3379
562	4344	3372
563	4351	3364
564	4358	3355
565	4365	3347
566	4373	3339
567	4379	3330
568	4386	3322
569	4393	3314
570	4399	3305
571	4410	3300
572	4417	3292
573	4427	3285
574	4438	3280
575	4447	3273
576	4456	3266
577	4463	3259
578	4471	3251
579	4477	3242
580	4484	3234
581	4491	3225
582	4498	3217
583	4505	3209
584	4512	3201
585	4519	3192
586	4525	3184
587	4532	3176
588	4539	3167
589	4546	3159
590	4552	3150
591	4559	3142
592	4565	3133
593	4571	3124
594	4578	3116
595	4588	3110
